Service, Sub-service, Path (relative from the Azure root folder: https://github.com/Azure/azure-rest-api-specs/tree/main/)
common-v1, types-v1, specification/common-types/resource-management/v1/types.json
common-v2, types-v2, specification/common-types/resource-management/v2/types.json
common-v3, types-v3, specification/common-types/resource-management/v3/types.json
common-types, rfc7517, specification/common-types/rfcs/rfc7517.json
common-types-v1, privatelinks-v1, specification/common-types/resource-management/v1/privatelinks.json
common-types-v3, privatelinks-v3, specification/common-types/resource-management/v3/privatelinks.json
servicebus-common, servicebus-common, specification/servicebus/resource-manager/common/v1/definitions.json
servicebus-common, servicebus-common, specification/servicebus/resource-manager/common/v2/definitions.json
common-security, security, specification/security/resource-manager/common/v1/types.json
guestconfiguration-common, guestconfiguration-common, specification/guestconfiguration/resource-manager/Microsoft.GuestConfiguration/common/v1/definitions.json
eventhub-common, eventhub-common, specification/eventhub/resource-manager/common/v1/definitions.json
eventhub-common-v2, eventhub-common-v2, specification/eventhub/resource-manager/common/v2/definitions.json
streamanalytics-common, StreamAnalytics-common, specification/streamanalytics/resource-manager/Microsoft.StreamAnalytics/common/v1/definitions.json
securityinsights-common-types, securityinsights-common-types, specification/automation/resource-manager/Microsoft.Automation/common/v1/definitions.json
automation-types, automation-types, specification/securityinsights/resource-manager/common/1.0/types.json
sql-types, sql-types, specification/sql/resource-manager/common/v1/types.json
Microsoft.Management, management, specification/managementgroups/resource-manager/Microsoft.Management/stable/2021-04-01/management.json
Microsoft.Maps, maps-management, specification/maps/resource-manager/Microsoft.Maps/stable/2021-02-01/maps-management.json
Microsoft.ResourceGraph, resourcegraph, specification/resourcegraph/resource-manager/Microsoft.ResourceGraph/stable/2021-03-01/resourcegraph.json
Microsoft.Cache, redisenterprise, specification/redisenterprise/resource-manager/Microsoft.Cache/stable/2021-08-01/redisenterprise.json
Microsoft.DBforPostgreSQL, PrivateDnsZone, specification/postgresql/resource-manager/Microsoft.DBforPostgreSQL/stable/2021-06-01/PrivateDnsZone.json
Microsoft.DBforPostgreSQL, Databases, specification/postgresql/resource-manager/Microsoft.DBforPostgreSQL/stable/2021-06-01/Databases.json
Microsoft.DBforPostgreSQL, postgresql, specification/postgresql/resource-manager/Microsoft.DBforPostgreSQL/stable/2021-06-01/postgresql.json
Microsoft.StoragePool, storagepool, specification/storagepool/resource-manager/Microsoft.StoragePool/stable/2021-08-01/storagepool.json
Microsoft.ServiceBus, AuthorizationRules, specification/servicebus/resource-manager/Microsoft.ServiceBus/stable/2021-11-01/AuthorizationRules.json
Microsoft.ServiceBus, migrationconfigs, specification/servicebus/resource-manager/Microsoft.ServiceBus/stable/2021-11-01/migrationconfigs.json
Microsoft.ServiceBus, CheckNameAvailability, specification/servicebus/resource-manager/Microsoft.ServiceBus/stable/2021-11-01/CheckNameAvailability.json
Microsoft.ServiceBus, DisasterRecoveryConfig, specification/servicebus/resource-manager/Microsoft.ServiceBus/stable/2021-11-01/DisasterRecoveryConfig.json
Microsoft.ServiceBus, namespace-preview, specification/servicebus/resource-manager/Microsoft.ServiceBus/stable/2021-11-01/namespace-preview.json
Microsoft.ServiceBus, subscriptions, specification/servicebus/resource-manager/Microsoft.ServiceBus/stable/2021-11-01/subscriptions.json
Microsoft.ServiceBus, Queue, specification/servicebus/resource-manager/Microsoft.ServiceBus/stable/2021-11-01/Queue.json
Microsoft.ServiceBus, Rules, specification/servicebus/resource-manager/Microsoft.ServiceBus/stable/2021-11-01/Rules.json
Microsoft.ServiceBus, networksets, specification/servicebus/resource-manager/Microsoft.ServiceBus/stable/2021-11-01/networksets.json
Microsoft.ServiceBus, operations, specification/servicebus/resource-manager/Microsoft.ServiceBus/stable/2021-11-01/operations.json
Microsoft.ServiceBus, topics, specification/servicebus/resource-manager/Microsoft.ServiceBus/stable/2021-11-01/topics.json
Microsoft.Advisor, advisor, specification/advisor/resource-manager/Microsoft.Advisor/stable/2020-01-01/advisor.json
Microsoft.ApiManagement, apimskus, specification/apimanagement/resource-manager/Microsoft.ApiManagement/stable/2021-08-01/apimskus.json
Microsoft.ApiManagement, apimreports, specification/apimanagement/resource-manager/Microsoft.ApiManagement/stable/2021-08-01/apimreports.json
Microsoft.ApiManagement, apimapisByTags, specification/apimanagement/resource-manager/Microsoft.ApiManagement/stable/2021-08-01/apimapisByTags.json
Microsoft.ApiManagement, apimprivatelink, specification/apimanagement/resource-manager/Microsoft.ApiManagement/stable/2021-08-01/apimprivatelink.json
Microsoft.ApiManagement, apimnamedvalues, specification/apimanagement/resource-manager/Microsoft.ApiManagement/stable/2021-08-01/apimnamedvalues.json
Microsoft.ApiManagement, apimdeployment, specification/apimanagement/resource-manager/Microsoft.ApiManagement/stable/2021-08-01/apimdeployment.json
Microsoft.ApiManagement, apimcontenttypes, specification/apimanagement/resource-manager/Microsoft.ApiManagement/stable/2021-08-01/apimcontenttypes.json
Microsoft.ApiManagement, apimproducts, specification/apimanagement/resource-manager/Microsoft.ApiManagement/stable/2021-08-01/apimproducts.json
Microsoft.ApiManagement, apimtagresources, specification/apimanagement/resource-manager/Microsoft.ApiManagement/stable/2021-08-01/apimtagresources.json
Microsoft.ApiManagement, apimopenidconnectproviders, specification/apimanagement/resource-manager/Microsoft.ApiManagement/stable/2021-08-01/apimopenidconnectproviders.json
Microsoft.ApiManagement, apimtenant, specification/apimanagement/resource-manager/Microsoft.ApiManagement/stable/2021-08-01/apimtenant.json
Microsoft.ApiManagement, apimanagement, specification/apimanagement/resource-manager/Microsoft.ApiManagement/stable/2021-08-01/apimanagement.json
Microsoft.ApiManagement, apimemailtemplates, specification/apimanagement/resource-manager/Microsoft.ApiManagement/stable/2021-08-01/apimemailtemplates.json
Microsoft.ApiManagement, apimapis, specification/apimanagement/resource-manager/Microsoft.ApiManagement/stable/2021-08-01/apimapis.json
Microsoft.ApiManagement, apimauthorizationservers, specification/apimanagement/resource-manager/Microsoft.ApiManagement/stable/2021-08-01/apimauthorizationservers.json
Microsoft.ApiManagement, apimnotifications, specification/apimanagement/resource-manager/Microsoft.ApiManagement/stable/2021-08-01/apimnotifications.json
Microsoft.ApiManagement, apimtags, specification/apimanagement/resource-manager/Microsoft.ApiManagement/stable/2021-08-01/apimtags.json
Microsoft.ApiManagement, apimloggers, specification/apimanagement/resource-manager/Microsoft.ApiManagement/stable/2021-08-01/apimloggers.json
Microsoft.ApiManagement, apimquotas, specification/apimanagement/resource-manager/Microsoft.ApiManagement/stable/2021-08-01/apimquotas.json
Microsoft.ApiManagement, apimportalsettings, specification/apimanagement/resource-manager/Microsoft.ApiManagement/stable/2021-08-01/apimportalsettings.json
Microsoft.ApiManagement, apimsubscriptions, specification/apimanagement/resource-manager/Microsoft.ApiManagement/stable/2021-08-01/apimsubscriptions.json
Microsoft.ApiManagement, apimconnectivitycheck, specification/apimanagement/resource-manager/Microsoft.ApiManagement/stable/2021-08-01/apimconnectivitycheck.json
Microsoft.ApiManagement, apimportalrevisions, specification/apimanagement/resource-manager/Microsoft.ApiManagement/stable/2021-08-01/apimportalrevisions.json
Microsoft.ApiManagement, apimoutbounddependency, specification/apimanagement/resource-manager/Microsoft.ApiManagement/stable/2021-08-01/apimoutbounddependency.json
Microsoft.ApiManagement, apimidentityprovider, specification/apimanagement/resource-manager/Microsoft.ApiManagement/stable/2021-08-01/apimidentityprovider.json
Microsoft.ApiManagement, apimregions, specification/apimanagement/resource-manager/Microsoft.ApiManagement/stable/2021-08-01/apimregions.json
Microsoft.ApiManagement, apimissues, specification/apimanagement/resource-manager/Microsoft.ApiManagement/stable/2021-08-01/apimissues.json
